Drug,Y
Cn1cc(cn1)-c1ccc2ncc(Cc3ccc4ncccc4c3)n2n1,0.183714971
C(CCc1ccccc1)CN1CCC(CC1)c1ccccc1,-0.420902631
CCn1c2nc(\C=C\c3ccc(OC)c(OC)c3)n(C)c2c(=O)n(CC)c1=O,0.142423066
O=C1Nc2ccccc2C2=NC(CN3CCN(CC3)c3ccccc3)CN12,0.255227385
O=C(C1CC1)c1ccc(OCCCc2c[nH]cn2)cc1,0.034285877
OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1,-0.003449993
O=C1NCCc2[nH]c(cc12)-c1ccncc1,-1.795210545
O=C1NCN(c2ccccc2)C11CCN(CC2COc3ccccc3O2)CC1,-0.224074733
O=C(NC1CCOCC1)c1ccc(cc1)-c1cc(ccn1)-c1c[nH]nc1-c1ccccn1,0.002229855
NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1,0.603827171
CC(C)c1onc(c1COc1ccc(\C=C\c2cccc(c2)C(O)=O)c(Cl)c1)-c1c(Cl)cccc1Cl,-0.285481281
NC(=N)N=Nc1ccc(NNC(S)=N)cc1,0.064603532
Cc1cn[nH]c1,-0.461716872
CC1(C)C2CCC1(C)C(=O)N(CCCCN1CCN(CC1)c1ccccn1)C2=O,-0.382505508
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,-0.653514858
CCN(CC)CCNC(=O)c1ccc(I)cc1,-0.330204991
CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1,-0.228690311
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,0.363201165
OCCN(CCc1c[nH]c2ccccc12)Cc1ccc(\C=C\C(=O)NO)cc1,-1.777749319
CNC(=O)c1c(I)c(N(C)C(C)=O)c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(O)=O)c(I)c(C(=O)NCCO)c2I)c1I,0.367195616
CCCCCCOC(=O)\N=C(\N)c1ccc(NCc2nc3cc(ccc3n2C)C(=O)N(CCC(=O)OCC)c2ccccn2)cc1,-0.081004973
CCSc1ccc2Sc3ccccc3N(CCCN3CCN(C)CC3)c2c1,0.345992435
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO,0.539689035
COC(=O)Nc1nc2cc(SC(C)C)ccc2[nH]1,-0.590031804
